epoch,train_loss,train_acc,test_acc
1,2.122990416288376,0.69125,0.8574999570846558
2,0.6566639094054699,0.92625,0.8799999952316284
3,0.4000063516199589,0.948125,0.8799999952316284
4,0.29187921695411206,0.958125,0.8974999785423279
5,0.23036406446248292,0.97,0.8949999809265137
6,0.19080412194132804,0.973125,0.8949999809265137
7,0.16252761974930763,0.978125,0.8899999856948853
8,0.1393176193162799,0.98125,0.8974999785423279
9,0.12274167079478503,0.98375,0.8899999856948853
10,0.11221184626221657,0.9825,0.9049999713897705
11,0.09894348395988345,0.985,0.8924999833106995
12,0.089537258958444,0.988125,0.8924999833106995
13,0.08220543090254068,0.988125,0.887499988079071
14,0.07430428572930396,0.9875,0.8949999809265137
15,0.06875777442008257,0.990625,0.8924999833106995
16,0.06410789544926956,0.990625,0.8924999833106995
17,0.06025867523625493,0.98875,0.8974999785423279
18,0.05607704875990748,0.99,0.8849999904632568
19,0.05138084266334772,0.991875,0.8849999904632568
20,0.04998630498535931,0.98875,0.8974999785423279
21,0.04560978966765106,0.991875,0.8924999833106995
22,0.04365264600375667,0.9925,0.8974999785423279
23,0.040801713881082835,0.994375,0.8899999856948853
24,0.03940612159203738,0.99375,0.8899999856948853
25,0.03692853839602321,0.994375,0.8949999809265137
26,0.034773824284784496,0.994375,0.9024999737739563
27,0.03362629870884121,0.995,0.8924999833106995
28,0.0312657976988703,0.994375,0.8949999809265137
29,0.030358884835150094,0.995,0.8849999904632568
30,0.028828377816826106,0.99625,0.8949999809265137
31,0.026800003154203295,0.995625,0.8949999809265137
32,0.025434593099635094,0.996875,0.8949999809265137
33,0.02609513499541208,0.994375,0.8924999833106995
34,0.023707914907718078,0.996875,0.8924999833106995
35,0.022775095221586526,0.995625,0.8999999761581421
36,0.021986256421077998,0.995625,0.8949999809265137
37,0.02079374325927347,0.998125,0.8924999833106995
38,0.01979038120363839,0.9975,0.8924999833106995
39,0.01922125390963629,0.99875,0.8924999833106995
40,0.018367490312084556,0.9975,0.9049999713897705
41,0.017774954591877758,0.998125,0.9049999713897705
42,0.01749047611025162,0.9975,0.8999999761581421
43,0.016919910301221534,0.9975,0.8974999785423279
44,0.014738915517227724,0.99875,0.8924999833106995
45,0.015172509392141365,0.998125,0.8999999761581421
46,0.014193757502362132,0.999375,0.9024999737739563
47,0.014374107989715413,0.998125,0.8899999856948853
48,0.013020828982698731,0.999375,0.8949999809265137
49,0.012766586795332841,0.99875,0.8974999785423279
50,0.012221203434746713,0.998125,0.8924999833106995
